Question,Subset,Set,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Please rate the clarity of each section|Session detail|Additional information,Session detail,Additional information,Excellent,Very good,,Excellent,Very good,Fair,Good,Very good,Good,
Please rate the clarity of each section|Contextual information|Additional information,Contextual information,Additional information,Excellent,Very good,,Very good,Good,Fair,Good,Very good,Very good,
How difficult would it be to collect information on each section in football environment ?|Contact type| Core set,Contact type, Core set,Very easy,Easy,Easy,Very easy,Very easy,Very easy,Easy,Very easy,Very easy,Easy
How difficult would it be to collect information on each section in football environment ?|Physical activity| Core set,Physical activity, Core set,Very easy,Easy,Neutral,Very easy,Very easy,Very easy,Easy,Very easy,Easy,Easy
How difficult would it be to collect information on each section in football environment ?|Ball situation| Core set,Ball situation, Core set,Very easy,Easy,Neutral,Very easy,Very easy,Very easy,Easy,Easy,Neutral,Very easy
How difficult would it be to collect information on each section in football environment ?|Session detail| Core set,Session detail, Core set,Very easy,Very easy,Easy,Very easy,Easy,Very easy,Easy,Neutral,Neutral,Very easy
How difficult would it be to collect information on each section in football environment ?|Contextual information| Core set,Contextual information, Core set,Very easy,Easy,Difficult,Very easy,,Very easy,Neutral,,Easy,Very easy
How difficult would it be to collect information on each section in football environment ?|Contact type|Additional information,Contact type,Additional information,Very easy,Easy,,Very easy,,Very easy,Neutral,Very easy,Very easy,
How difficult would it be to collect information on each section in football environment ?|Physical activity|Additional information,Physical activity,Additional information,Very easy,Easy,,Very easy,Very easy,Very easy,Neutral,Very easy,Easy,
How difficult would it be to collect information on each section in football environment ?|Ball situation|Additional information,Ball situation,Additional information,Very easy,Easy,,Very easy,Neutral,Very easy,Neutral,Very easy,Neutral,
How difficult would it be to collect information on each section in football environment ?|Session detail|Additional information,Session detail,Additional information,Easy,Very easy,,Very easy,Very easy,Very easy,Neutral,Easy,Neutral,
How difficult would it be to collect information on each section in football environment ?|Contextual information|Additional information,Contextual information,Additional information,Neutral,Easy,,Very easy,Easy,Very easy,Difficult,Easy,Easy,
How difficult would implementing the system in research environment be?|Contact type| Core set,Contact type, Core set,Very easy,Easy,Easy,Very easy,Very easy,Very easy,Easy,,Very easy,Easy
How difficult would implementing the system in research environment be?|Physical activity| Core set,Physical activity, Core set,Very easy,Easy,Easy,Very easy,Very easy,Very easy,Easy,,Very easy,Neutral
How difficult would implementing the system in research environment be?|Ball situation| Core set,Ball situation, Core set,Very easy,Easy,Easy,Very easy,Easy,Very easy,Easy,,Easy,Very easy
How difficult would implementing the system in research environment be?|Session detail| Core set,Session detail, Core set,Very easy,Easy,Neutral,Very easy,Easy,Very easy,Neutral,,Easy,Very easy
How difficult would implementing the system in research environment be?|Contextual information| Core set,Contextual information, Core set,Very easy,Easy,Neutral,Very easy,,Very easy,Difficult,,Very easy,Very easy
How difficult would implementing the system in research environment be?|Contact type|Additional information,Contact type,Additional information,Very easy,Easy,,Very easy,,Very easy,Neutral,,Very easy,
How difficult would implementing the system in research environment be?|Physical activity|Additional information,Physical activity,Additional information,Very easy,Easy,,Very easy,Very easy,Very easy,Neutral,,Very easy,
How difficult would implementing the system in research environment be?|Ball situation|Additional information,Ball situation,Additional information,Very easy,Easy,,Very easy,Easy,Very easy,Neutral,,Easy,
How difficult would implementing the system in research environment be?|Session detail|Additional information,Session detail,Additional information,Very easy,Easy,,Very easy,Easy,Very easy,Neutral,,Easy,
How difficult would implementing the system in research environment be?|Contextual information|Additional information,Contextual information,Additional information,Very easy,Easy,,Very easy,Neutral,Very easy,Difficult,,Very easy,
